Domain,MBFC,MBFC factual,BF,FC,PF,WI,Site Rank,Yr online,Name,Media Bias/Fact Check page,Wikipedia article,HTTP,URL,lang,hflag,iffy,Lists
eugenics.news,CP,VL,,,,,4619005,,Eugenics.News,https://mediabiasfactcheck.com/eugenics-news/,,200,https://eugenics.news/,en,,1,1
eutimes.net,CP,M,,,,,746635,2009,The European Union Times,https://mediabiasfactcheck.com/the-european-union-times/,,403,https://eutimes.net/,en,,,1
everylegalvote.com,FN,L,,,,,61873,2020,Every Legal Vote,https://mediabiasfactcheck.com/every-legal-vote/,,200,https://everylegalvote.com/,en,,1,1
everytown.org,FN,M,,,,,366221,,Everyday for Gun Safety,https://mediabiasfactcheck.com/everytown-for-gun-safety/,https://en.wikipedia.org/wiki/Everytown_for_Gun_Safety,200,https://everytown.org/,en,,,1
evil.news,FN,L,,,,,9016680,2015,Evil.News,https://mediabiasfactcheck.com/evil-news/,https://en.wikipedia.org/wiki/Natural_News,200,https://evil.news/,en,,1,1
evolutionnews.org,CP,L,,,,,147408,2004,Evolution News and Views,https://mediabiasfactcheck.com/evolution-news-and-views/,,200,https://evolutionnews.org/,en,,1,1
ewg.org,CP,M,,,,,26761,1995,Environmental Working Group (EWG),https://mediabiasfactcheck.com/environmental-working-group-ewg/,,200,https://www.ewg.org/,en,,,1
explainlife.com,FN,VL,,,,,240818,2004,Explain Life,https://mediabiasfactcheck.com/explain-life/,,200,https://explainlife.com/,en,,1,1
extraordinaryinfo.com,CP,M,,,,,20000000,2019,Extraordinary News,https://mediabiasfactcheck.com/extraordinary-news/,,200,http://extraordinaryinfo.com/,en,,,1
fabiosa.com,CP,M,,,,,204983,2015,Fabiosa,https://mediabiasfactcheck.com/fabiosa/,,200,https://fabiosa.com/,en,,,1
factcheckingturkey.com,FN,M,,,,,6994900,2015,Fact Checking Turkey,https://mediabiasfactcheck.com/fact-checking-turkey/,,200,https://factcheckingturkey.com/,en,,,1
factswanted.com,FN,M,,,,,9932405,2017,Facts Wanted,https://mediabiasfactcheck.com/facts-wanted/,,200,https://factswanted.com/,en,,,1
